case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,case_violtn_cnt,latitude,longitude
1699211,Solid Remodelers Inc/5655 S Indiana,Solid Remodelers Inc,3324 N. New Castle Ave,Chicago,IL,60634,7,41.9463,-87.8061
1699395,Vee Enterprises (606RG),"Vee Enterprises, LLC",7536 S. Aberdeen,Chicago,IL,60620,2,41.7411,-87.6543
1710525,"Allied Waste Transportation, Inc.","Allied Waste Transportation, Inc.",2608 S. Damen,Chicago,IL,60608,0,41.8442135,-87.6757856
1728378,"City of Chicago, Dept of Transportation,  Div","City of Chicago, Dept. of Transportation","30 N. LaSalle, Ste. 1100",Chicago,IL,60602,0,41.8829,-87.6321
1733352,Tuffy Automotive Services -Southport,Sailfish Automotive LLC,1400 W. Diversey Pkwy,Chicago,IL,60614,0,41.93256,-87.663736
1699744,Five Partners Construction Company,Five Partners Construction Company,4327 W Roosevelt (Safeway's office),Chicago,IL,60624,0,41.8804,-87.7223
1722557,Midwest Automotive Specialist,"Midwest Automotive Specialist, Inc.",3701 W. Armitage,Chicago,IL,60647,0,41.9209,-87.7043
1592232,"Cam Legal & Social Services, Inc.","CAM Legal & Social Services, Inc.",7239 S. Constance,Chicago,IL,60649,17,41.762,-87.5703
1693283,Reza's Restaurant (Ontario Ave),"Rezas River North, Inc.",432 W. Ontario St,Chicago,IL,60654,0,41.8933526,-87.6395911
1715565,Beggars Pizza,Unified Investiment Group LLC,10314 S. Halsted,Chicago,IL,60628,15,41.6934,-87.6243
1733892,Chicago Public Schools (LaSalle Language Acad,Board of Education of the City of Chicago,1734 N. Orleans,Chicago,IL,60614,1,41.9229,-87.6483
1700337,UHC,University HealthSystem Consortium,155 North Wacker,Chicago,IL,60606,0,41.8848794,-87.6367067
1641968,Yolk,"Kpokos, Inc",1120 S Michigan Avenue,Chicago,IL,60605,15,41.8688239,-87.6246198
1695214,Holsten Management,Holsten Management Corporation,1020 W. Montrose,Chicago,IL,60613,5,41.9543,-87.6575
1726509,"Taco Burrito King (Downtown, Chicago Ave)","Taco Burrito King 12, Inc.",114 W. Chicago Ave,Chicago,IL,60654,9,41.896704,-87.632151
1421476,Boulevard Care Center,Boulevard Care Center,3405 S. Michigan Ave.,Chicago,IL,60616,4,41.8325727,-87.6227883
1713501,Petes Meat & Grocery 2,"Lily Food Market, Inc.",2001 W. 71st St,Chicago,IL,60636,4,41.7645386,-87.6737321
1713503,Family Dollar Store,Family Dollar Inc,11041 S. Kedzie,Chicago,IL,60655,1,41.6948,-87.7038
1735449,Days Adult Day Care & Senior Services,Day's  Adult Day care & Senior Services,2455 E. 75th St.,Chicago,IL,60649,1,41.7589227,-87.5649843
1684696,Chicago Transit Authority,Chicago Transit Authority,358 S Kedzie Ave,Chicago,IL,60612,0,41.8764469,-87.7072581
