,case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,bw_atp_amt,ee_atp_cnt,findings_start_date,findings_end_date,flsa_violtn_cnt
199867,1572956,RJE Construction,"RJE Construction, Inc.",3926 W. 6lst Place,Chicago,IL,60629,25,0,8,185372.47,8,2009-05-01,2009-12-05,0
200102,1477914,AT&T,AT & T,2401 W. Grace,Chicago,IL,60618,1,0,1,614.1,1,2007-02-13,2007-03-01,0
200370,1653327,Phil Stephani's 437 Rush,"437 Rush, LLC",437 Rush St.,Chicago,IL,60611,2,0,1,11302.2,1,2010-04-19,2012-04-15,2
200371,1653329,Everest,"One Fin, LLC.",440 S. LaSalle St.,Chicago,IL,60605,0,0,0,0,0,2010-04-13,2012-04-10,0
200532,1510843,Las Islas Marias,Las Islas Marias Inc.,5401 S. Pulaski Road,Chicago,IL,60632,28,0,26,72962.31,26,2006-04-29,2008-04-26,28
200580,1649081,Jaks Tap,"901 Jackson, LLC",901 W Jackson,Chicago,IL,60607,15,0,14,27828.47,14,2010-05-23,2012-04-13,15
201086,1591088,MIM Installation Inc.,"MIM Installations, Inc",2053 W. 69th St,Chicago,IL,60629,19,0,18,4730.29,18,2010-03-21,2010-05-23,19
201189,1464259,Budget Rent-a-Car,"Budget Rent A Car System, Inc",580 Bessie Coleman Dr.,Chicago,IL,60660,0,0,1,0,0,2006-10-25,2007-05-17,0
201260,1448113,City of Chicago- Department of Police,"City of Chicago, Department of Police",3510 S. Michigan,Chicago,IL,60615,0,0,1,0,0,2006-03-26,2006-03-26,0
201461,1649063,K-SP Construction Inc,"K-SP Construction, Inc",2729 W. Devon Ave,Chicago,IL,60659,2,0,1,1950,1,2011-07-01,2012-03-31,2
202383,1390237,ATA Airlines,"ATA Airlines, Inc.",Midway Airport,Chicago,IL,60638,1,0,1,5346,1,2004-10-18,2005-03-17,0
202430,1653328,Tru,"Phase Once, LLC",676 N. St. Claire,Chicago,IL,60611,1,0,1,728.9,1,2010-04-07,2012-04-04,1
202556,1644680,"Amsdyna - Rubin Brothers, payee (hot goods)",,4534 W. North Ave.,Chicago,IL,60639,16,0,15,14767.67,15,2011-10-01,2011-11-26,16
202557,1644682,Ameri Laser Center,"Ameri-Laser Center 1, Inc.",1945 W. Wilson Avenue,Chicago,IL,60640,7,0,5,1514.1,5,2011-07-01,2012-02-17,7
202605,1649291,Creme de la Creme,"Creme de la Creme (Lincoln Park), Inc.",2230 N. Dominick Street,Chicago,IL,60614,26,0,25,1307.49,25,2010-01-01,2011-12-31,26
202865,1678632,"Eleven MR, LLC","Eleven MR, LLC",626 W Randolph,Chicago,IL,60661,5,0,4,2917.75,4,2010-12-31,2012-12-28,5
203008,1454682,Square Kitchen,"Square Kitchen, LLC",2747 N. Lincoln Avenue,Chicago,IL,60614,15,0,15,5167.9,15,2004-12-03,2006-07-23,15
203114,1644750,Bolts Design - Weinbrenners payee (Hot goods),"Bolts Design, Inc.",4534 W. North Ave.,Chicago,IL,60639,18,0,17,40260.86,17,2011-10-01,2012-01-14,18
203131,1644798,Billy Goat Inn (Near United Center),"Billy Goat Inn, Inc.",1535 W. Madison Street,Chicago,IL,60607,1,0,0,0,0,2010-01-31,2012-02-05,1
203132,1644801,Billy Goat Tavern Navy Pier,"Billy Goat North II, Inc",700 E Grand Ave,Chicago,IL,60611,4,0,3,93.4,3,2010-02-09,2012-02-08,4
203549,1675247,"Morelia Supermarket #2, Inc.","Morelia Supermarket #2, Inc.",4833 W. Diversey,Chicago,IL,60639,3,0,1,2856,1,2009-11-22,2011-11-21,3
203959,1670752,Chicago Transit Authority,Chicago Transit Authority,642  N. Pulaski Rd,Chicago,IL,60624,1,0,1,0,0,2012-08-02,2012-12-31,0
203964,1670755,Chicago Transit Authority,Chicago Transit Authority,1845 W. 74th St.,Chicago,IL,60636,0,0,1,0,0,2012-09-01,2012-09-01,0
203965,1670756,Chicago Transit Authority,Chicago Transit Authority,1825 W. 74th St.,Chicago,IL,60636,0,0,1,0,0,2012-08-21,2012-08-22,0
